city,county,population,coastal_water,identity_nickname,known_for_hooks,condo_relevance,buildings_tracked,fha_approved,fha_expired,va_accepted,va_rejected,precon_pipeline,2_flags,url_slug_hub,primary_keyword,page_template,wikipedia_ref
Hillsboro Beach,BROWARD,"~1,875",Oceanfront,Condo mile,"A1A-only town: 3-mile strip, Hillsboro Lighthouse",HIGH relative to size — town IS a condo strip,17,0,0,1,0,1,1,condos-broward-hillsboro-beach,Hillsboro Beach condos,city-hub,"https://en.wikipedia.org/wiki/Hillsboro_Beach,_Florida"
Hollywood,BROWARD,"153,067",Oceanfront,Diamond of the Gold Coast,"Broadwalk (2.5 mi), Young circles plan, Hard Rock guitar hotel adjacency","HIGH — beach + circles stock, big precon",142,1,13,3,20,4,10,condos-broward-hollywood,Hollywood condos,city-hub,"https://en.wikipedia.org/wiki/Hollywood,_Florida"
Lauderdale Lakes,BROWARD,"~35,954",Inland,Heart of Broward,Caribbean-American hub,"MED — large affordable condo stock, registry-heavy",44,0,2,1,6,0,0,condos-broward-lauderdale-lakes,Lauderdale Lakes condos,city-hub,"https://en.wikipedia.org/wiki/Lauderdale_Lakes,_Florida"
Lauderdale-By-The-Sea,BROWARD,"~6,664",Oceanfront,Shore-diving capital,"Anglin's Pier, low-rise charm by charter (height limits)",MED-HIGH — low-rise co-op/condo beach stock,28,0,0,2,4,0,3,condos-broward-lauderdale-by-the-sea,Lauderdale-By-The-Sea condos,city-hub,"https://en.wikipedia.org/wiki/Lauderdale-By-The-Sea,_Florida"
Lauderhill,BROWARD,"74,482",Inland,Cricket capital of US,"Central Broward Stadium (US cricket home), Caribbean hub",MED — big affordable stock; VA/registry flags cluster,60,0,7,5,5,0,2,condos-broward-lauderhill,Lauderhill condos,city-hub,"https://en.wikipedia.org/wiki/Lauderhill,_Florida"
Lazy Lake,BROWARD,~27,Inland,Smallest FL municipality,13 houses around a lake — a village of ~24 people,NONE (great trivia for county page),0,0,0,0,0,0,0,condos-broward-lazy-lake,Lazy Lake condos,city-hub,"https://en.wikipedia.org/wiki/Lazy_Lake,_Florida"
Lighthouse Point,BROWARD,"~10,486",Intracoastal,Yachting village,"Cap's Place (Prohibition-era, visited by Churchill/FDR)",MED — waterfront condo/co-op pockets,6,0,1,0,2,0,0,condos-broward-lighthouse-point,Lighthouse Point condos,city-hub,"https://en.wikipedia.org/wiki/Lighthouse_Point,_Florida"
Margate,BROWARD,"58,796",Inland,Gateway city,Big 55+ garden condo base,MED-HIGH for its class — huge older garden stock,51,0,2,2,8,0,3,condos-broward-margate,Margate condos,city-hub,"https://en.wikipedia.org/wiki/Margate,_Florida"
Miramar,BROWARD,"134,721",Inland,Beauty and progress,"HQ city (Spirit Airlines), Miramar Cultural Ctr",LOW-MED,37,0,9,9,3,0,0,condos-broward-miramar,Miramar condos,city-hub,"https://en.wikipedia.org/wiki/Miramar,_Florida"
North Lauderdale,BROWARD,"~44,794",Inland,City of tomorrow,Morgan-designed hexagon plats,LOW-MED,7,0,3,0,0,0,0,condos-broward-north-lauderdale,North Lauderdale condos,city-hub,"https://en.wikipedia.org/wiki/North_Lauderdale,_Florida"
Oakland Park,BROWARD,"44,229",Inland,Culinary arts district,"Funky Buddha, downtown food district",MED,21,0,3,5,1,0,0,condos-broward-oakland-park,Oakland Park condos,city-hub,"https://en.wikipedia.org/wiki/Oakland_Park,_Florida"
Parkland,BROWARD,"~34,670",Inland,Park-like by charter,"Equestrian character, top schools",LOW — minimal condos,1,0,0,0,0,0,0,condos-broward-parkland,Parkland condos,city-hub,"https://en.wikipedia.org/wiki/Parkland,_Florida"
Pembroke Park,BROWARD,"~6,102",Inland,Mobile-home + warehouse town,,LOW,1,0,1,0,0,0,0,condos-broward-pembroke-park,Pembroke Park condos,city-hub,"https://en.wikipedia.org/wiki/Pembroke_Park,_Florida"
Pembroke Pines,BROWARD,"171,178",Inland,"Join us, progress with us","2nd-largest Broward city; Century Village Pembroke (7,800 units); C.B. Smith Park",HIGH garden-condo volume — Century Village + huge 55+ stock,52,0,6,5,7,0,1,condos-broward-pembroke-pines,Pembroke Pines condos,city-hub,"https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida"
Plantation,BROWARD,"91,750",Inland,The grass is greener,Tree City 40+ yrs; Westfield mall redevelopment; DHL/Motorola legacy,MED — big garden/mid-rise base,69,0,11,16,8,0,1,condos-broward-plantation,Plantation condos,city-hub,"https://en.wikipedia.org/wiki/Plantation,_Florida"
Pompano Beach,BROWARD,"112,046",Oceanfront,Marine gateway,"2nd-oldest Broward city; fishing pier + Innovation District; huge precon wave (Ritz, Waldorf territory)",HIGH — beach precon epicenter + older stock,172,0,14,12,23,8,11,condos-broward-pompano-beach,Pompano Beach condos,city-hub,"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida"
Sea Ranch Lakes,BROWARD,~670,Oceanfront,Gated village,Private beach club village inside gates,NONE-LOW,0,0,0,0,0,0,0,condos-broward-sea-ranch-lakes,Sea Ranch Lakes condos,city-hub,"https://en.wikipedia.org/wiki/Sea_Ranch_Lakes,_Florida"
Southwest Ranches,BROWARD,"~7,607",Inland,Preserving rural lifestyle,Horse country incorporated to stay rural,NONE,0,0,0,0,0,0,0,condos-broward-southwest-ranches,Southwest Ranches condos,city-hub,"https://en.wikipedia.org/wiki/Southwest_Ranches,_Florida"
Sunrise,BROWARD,"97,335",Inland,Amerant Arena city,"Panthers arena (2024+25 Cup runs), Sawgrass Mills (#1 FL outlet)",MED — garden stock; arena-district plans,84,0,20,6,6,0,2,condos-broward-sunrise,Sunrise condos,city-hub,"https://en.wikipedia.org/wiki/Sunrise,_Florida"
Tamarac,BROWARD,"71,897",Inland,The city for your life,Woodlands golf redevelopment fight; huge 55+ stock,MED-HIGH — 55+ garden condo capital,117,2,5,6,14,0,3,condos-broward-tamarac,Tamarac condos,city-hub,"https://en.wikipedia.org/wiki/Tamarac,_Florida"
West Park,BROWARD,"~14,156",Inland,Broward's youngest city,Incorporated 2005,LOW,0,0,0,0,0,0,0,condos-broward-west-park,West Park condos,city-hub,"https://en.wikipedia.org/wiki/West_Park,_Florida"
Weston,BROWARD,"68,107",Inland,Arvida master plan,"Cleveland Clinic FL, top-ranked planned city, Venezuelan-American hub",LOW-MED — townhome/mediterranean condo stock,26,0,10,1,5,0,1,condos-broward-weston,Weston condos,city-hub,"https://en.wikipedia.org/wiki/Weston,_Florida"
Wilton Manors,BROWARD,"~11,426",Island (rivers),Island City,2nd-highest LGBT couple share of any US city; Wilton Drive,"MED — small stock, strong demand story",16,0,1,1,3,0,0,condos-broward-wilton-manors,Wilton Manors condos,city-hub,"https://en.wikipedia.org/wiki/Wilton_Manors,_Florida"
Atlantis,PALM BEACH,"~2,171",Inland,City in a golf course,"Gated golf city, JFK Medical adjacency",LOW,2,0,0,0,1,0,0,condos-palm-beach-atlantis,Atlantis condos,city-hub,"https://en.wikipedia.org/wiki/Atlantis,_Florida"
Belle Glade,PALM BEACH,"~16,863",Lake Okeechobee,Her soil is her fortune,Muck City — sugar + NFL talent pipeline,LOW,0,0,0,0,0,0,0,condos-palm-beach-belle-glade,Belle Glade condos,city-hub,"https://en.wikipedia.org/wiki/Belle_Glade,_Florida"
Boca Raton,PALM BEACH,"97,422",Oceanfront,Mizner's dream city,"Addison Mizner resort architecture, FAU, IBM PC birthplace (1981), Town Center",HIGH — beach + Century Village + downtown towers,186,0,8,5,34,0,15,condos-palm-beach-boca-raton,Boca Raton condos,city-hub,"https://en.wikipedia.org/wiki/Boca_Raton,_Florida"
Boynton Beach,PALM BEACH,"80,380",Oceanfront,Gateway to the Gulf Stream,"Oceanfront park, big 55+ corridors (Hunters Run etc.)",HIGH volume — massive garden/55+ stock,71,0,9,10,20,0,6,condos-palm-beach-boynton-beach,Boynton Beach condos,city-hub,"https://en.wikipedia.org/wiki/Boynton_Beach,_Florida"
Briny Breezes,PALM BEACH,~448,Oceanfront,The co-op town,Entire TOWN is one oceanfront mobile co-op — residents own the municipality,Unique story (co-op finance angle),1,0,0,0,0,0,0,condos-palm-beach-briny-breezes,Briny Breezes condos,city-hub,"https://en.wikipedia.org/wiki/Briny_Breezes,_Florida"
Cloud Lake,PALM BEACH,~135,Inland,Micro-village,,NONE,0,0,0,0,0,0,0,condos-palm-beach-cloud-lake,Cloud Lake condos,city-hub,"https://en.wikipedia.org/wiki/Cloud_Lake,_Florida"
Delray Beach,PALM BEACH,"66,846",Oceanfront,Village by the Sea,"Atlantic Ave (most fun small town in America), tennis stadium, Pineapple Grove",HIGH — downtown + beach + huge 55+ west corridors,153,0,8,9,34,0,5,condos-palm-beach-delray-beach,Delray Beach condos,city-hub,"https://en.wikipedia.org/wiki/Delray_Beach,_Florida"
Glen Ridge,PALM BEACH,~213,Inland,Micro-village,,NONE,0,0,0,0,0,0,0,condos-palm-beach-glen-ridge,Glen Ridge condos,city-hub,"https://en.wikipedia.org/wiki/Glen_Ridge,_Florida"
Golf,PALM BEACH,~253,Inland,Village of Golf,Country-club village,NONE,0,0,0,0,0,0,0,condos-palm-beach-golf,Golf condos,city-hub,"https://en.wikipedia.org/wiki/Golf,_Florida"
Greenacres,PALM BEACH,"43,990",Inland,Centennial city,,MED — affordable garden stock,7,0,0,2,4,0,1,condos-palm-beach-greenacres,Greenacres condos,city-hub,"https://en.wikipedia.org/wiki/Greenacres,_Florida"
Gulf Stream,PALM BEACH,~954,Oceanfront,Old-money enclave,"Polo heritage, Australian-pine A1A canopy",LOW,3,0,0,0,0,0,0,condos-palm-beach-gulf-stream,Gulf Stream condos,city-hub,"https://en.wikipedia.org/wiki/Gulf_Stream,_Florida"
Haverhill,PALM BEACH,"~2,105",Inland,"Small town, proud past",,NONE,0,0,0,0,0,0,0,condos-palm-beach-haverhill,Haverhill condos,city-hub,"https://en.wikipedia.org/wiki/Haverhill,_Florida"
Highland Beach,PALM BEACH,"~4,295",Oceanfront,3-mile condo town,Town is essentially an A1A condo strip,HIGH relative to size — condo-strip municipality,24,0,0,0,1,0,0,condos-palm-beach-highland-beach,Highland Beach condos,city-hub,"https://en.wikipedia.org/wiki/Highland_Beach,_Florida"
Hypoluxo,PALM BEACH,"~2,588",Intracoastal,Home of the barefoot mailman,,LOW,6,0,1,0,1,0,0,condos-palm-beach-hypoluxo,Hypoluxo condos,city-hub,"https://en.wikipedia.org/wiki/Hypoluxo,_Florida"
Juno Beach,PALM BEACH,"~3,858",Oceanfront,Sea turtle capital,Loggerhead Marinelife Center; NextEra/FPL HQ,MED — oceanfront condo town,30,0,3,0,1,0,1,condos-palm-beach-juno-beach,Juno Beach condos,city-hub,"https://en.wikipedia.org/wiki/Juno_Beach,_Florida"
Jupiter,PALM BEACH,"61,047",Oceanfront/River,Lighthouse town,"Jupiter Lighthouse (1860), Harbourside, Cardinals/Marlins spring training, Burt Reynolds legacy",MED-HIGH — inlet/beach condos,72,1,6,8,6,0,2,condos-palm-beach-jupiter,Jupiter condos,city-hub,"https://en.wikipedia.org/wiki/Jupiter,_Florida"
Jupiter Inlet Colony,PALM BEACH,~405,Oceanfront,Inlet village,,LOW,0,0,0,0,0,0,0,condos-palm-beach-jupiter-inlet-colony,Jupiter Inlet Colony condos,city-hub,"https://en.wikipedia.org/wiki/Jupiter_Inlet_Colony,_Florida"
Lake Clarke Shores,PALM BEACH,"~3,564",Inland,Lake village,,NONE,0,0,0,0,0,0,0,condos-palm-beach-lake-clarke-shores,Lake Clarke Shores condos,city-hub,"https://en.wikipedia.org/wiki/Lake_Clarke_Shores,_Florida"
Lake Park,PALM BEACH,"~9,047",Intracoastal,First planned FL town (Kelsey City),"Mizner-era planned town, marina district",LOW-MED,4,0,0,0,1,0,1,condos-palm-beach-lake-park,Lake Park condos,city-hub,"https://en.wikipedia.org/wiki/Lake_Park,_Florida"
Lake Worth Beach,PALM BEACH,"42,219",Oceanfront,Where the tropics begin,"Renamed 2019; historic cottages, casino building, arts scene","MED — older stock, co-ops",45,1,3,3,10,0,5,condos-palm-beach-lake-worth-beach,Lake Worth Beach condos,city-hub,"https://en.wikipedia.org/wiki/Lake_Worth_Beach,_Florida"
Lantana,PALM BEACH,"~11,504",Oceanfront,Fishing village roots,Old National Enquirer HQ; Kmart #1 site,LOW-MED,17,0,2,2,2,0,1,condos-palm-beach-lantana,Lantana condos,city-hub,"https://en.wikipedia.org/wiki/Lantana,_Florida"
Loxahatchee Groves,PALM BEACH,"~3,411",Inland,Rural preservation town,,NONE,0,0,0,0,0,0,0,condos-palm-beach-loxahatchee-groves,Loxahatchee Groves condos,city-hub,"https://en.wikipedia.org/wiki/Loxahatchee_Groves,_Florida"
Manalapan,PALM BEACH,~419,Oceanfront,Billionaire's row south,Eau Palm Beach; Oxbridge estates; priciest US home sales,NONE-LOW (talking point),0,0,0,0,0,0,0,condos-palm-beach-manalapan,Manalapan condos,city-hub,"https://en.wikipedia.org/wiki/Manalapan,_Florida"
Mangonia Park,PALM BEACH,"~2,275",Inland,Industrial village,Tri-Rail terminus,NONE,0,0,0,0,0,0,0,condos-palm-beach-mangonia-park,Mangonia Park condos,city-hub,"https://en.wikipedia.org/wiki/Mangonia_Park,_Florida"
North Palm Beach,PALM BEACH,"~13,162",Intracoastal,The best place to live under the sun,Jack Nicklaus-designed municipal course,MED — waterfront condo/co-op stock,46,0,1,1,4,0,2,condos-palm-beach-north-palm-beach,North Palm Beach condos,city-hub,"https://en.wikipedia.org/wiki/North_Palm_Beach,_Florida"
Ocean Ridge,PALM BEACH,"~1,830",Oceanfront,Quiet barrier island,,LOW-MED,5,0,0,0,0,0,0,condos-palm-beach-ocean-ridge,Ocean Ridge condos,city-hub,"https://en.wikipedia.org/wiki/Ocean_Ridge,_Florida"
Pahokee,PALM BEACH,"~5,525",Lake Okeechobee,Muck City twin,"NFL pipeline, lake marina",NONE,0,0,0,0,0,0,0,condos-palm-beach-pahokee,Pahokee condos,city-hub,"https://en.wikipedia.org/wiki/Pahokee,_Florida"
Palm Beach,PALM BEACH,"9,245",Island/Oceanfront,America's first resort town,"Mar-a-Lago, Worth Ave, Breakers, Flagler legacy; co-op capital",HIGH — co-op capital of FL (financing quirks galore),78,0,5,1,10,0,2,condos-palm-beach-palm-beach,Palm Beach condos,city-hub,"https://en.wikipedia.org/wiki/Palm_Beach,_Florida"
Palm Beach Gardens,PALM BEACH,"59,182",Inland,Signature city / golf capital,"PGA of America legacy, Honda Classic, MacArthur planning",MED — country-club condo stock,12,0,4,3,3,0,0,condos-palm-beach-palm-beach-gardens,Palm Beach Gardens condos,city-hub,"https://en.wikipedia.org/wiki/Palm_Beach_Gardens,_Florida"
Palm Beach Shores,PALM BEACH,"~1,283",Island/Oceanfront,Singer Island south tip,,MED — oceanfront towers,9,0,0,0,0,0,0,condos-palm-beach-palm-beach-shores,Palm Beach Shores condos,city-hub,"https://en.wikipedia.org/wiki/Palm_Beach_Shores,_Florida"
Palm Springs,PALM BEACH,"26,890",Inland,Village of Palm Springs,Big affordable garden stock,MED-HIGH volume for class,3,0,1,0,0,0,0,condos-palm-beach-palm-springs,Palm Springs condos,city-hub,"https://en.wikipedia.org/wiki/Palm_Springs,_Florida"
Riviera Beach,PALM BEACH,"37,604",Oceanfront,Marina city,"Singer Island towers, Port of Palm Beach, Peanut Island",HIGH — Singer Island oceanfront towers,14,0,2,2,0,0,0,condos-palm-beach-riviera-beach,Riviera Beach condos,city-hub,"https://en.wikipedia.org/wiki/Riviera_Beach,_Florida"
